ID;NAME;Kartenart;Quellkonto KontoID;Quellkonto;Quellkonto Beschreibung;Quellkonto BUB;Quellkonto LIB;Zielkonto KontoID;Zielkonto;Zielkonto Beschreibung;Zielkonto BUB;Zielkonto LIB;Verschiedene Lager;handler
100;Totalschaden;;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;N;
101;Umbuchung Fil.;;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;Y;
102;Lager->Transportbest;346;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;Y;
103;Transportbest->Lager;336;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;Y;
104;WE Filiale/Lager;300;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
105;Abgabe zu Musterung;;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;42;Int.warenabzug IWA;Umsatz Interner Warenabzug und Warenruecklauf;N;N;N;
106;Rücklauf von Muster.;;42;Int.warenabzug IWA;Umsatz Interner Warenabzug und Warenruecklauf;N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
107;Verkauf an Kunde aus Filiale;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;N;
108;Wareneingang Komm;300;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
109;Bestandsdiff Kommiss;340;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
110;Retoure von Kunde;;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
111;negative Inventurdifferenz manuell;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
112;positive Inventurdifferenz manuell;300;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
113;LIB/BUB-Anglei.ASTA;300;20;ALT: ALT: Angleichun;"Angleichung BUB an ASTA08 (Master). enthaelt Retoureneingaenge; Inventur  und sonstige Bewegungen ausser WE und Verkauf";N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
114;BUB-Angleichung ASTA;305;20;ALT: ALT: Angleichun;"Angleichung BUB an ASTA08 (Master). enthaelt Retoureneingaenge; Inventur  und sonstige Bewegungen ausser WE und Verkauf";N;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
115;LIB-Angleichung ASTA;330;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
116;Storno WE Filiale;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
117;QS-Korrektur NBV(-);-1;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
118;Einb. Totalschaden;;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
119;Abgabe Rep. an Lief.;;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;26;Abgabe Rep.an Lief.;"Warenausgang zu reparierender Artikel an den Lieferanten;
dabei Ausbuchung aus BUB;
Keine Verbuchung bzgl. REKO
Verwendet u.a. für Filialabgaben an Lieferant zur Reparatur";N;N;N;
120;Rückl. Rep.vom Lief.;;32;Rückl. Rep.von Lief.;"Wareneingang zu reparierender Artikel vom Lieferanten;
dabei Einbuchung in BUB;
Keine Verbuchung bzgl. REKO
Verwendet u.a. für Filial-WE reparierter Artikel vom Lieferant";N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
121;QS-Korrektur(+) NBV gegen Inventur;305;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;15;QS gesperrter Best.;von Qualitätssicherung gesperrter Bestand;Y;N;N;
122;sonstige Auslagerung;;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;29;Sonstige Auslagerung;Sonstige Auslagerungen;N;N;N;
123;Sonstige Einlagerung;;29;Sonstige Auslagerung;Sonstige Auslagerungen;N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
124;Anf.Nachschub frei;;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;30;ALT: ALT: Angeford.;"Angeforderter Filialnachschub; physische Auslieferung noch nicht bestätigt";Y;N;Y;
125;Gewährung Nachschub;;30;ALT: ALT: Angeford.;"Angeforderter Filialnachschub; physische Auslieferung noch nicht bestätigt";Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
126;Anf. Nachsch. reserv;;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;30;ALT: ALT: Angeford.;"Angeforderter Filialnachschub; physische Auslieferung noch nicht bestätigt";Y;N;Y;
127;Lagerdiff. Nachschub;;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;30;ALT: ALT: Angeford.;"Angeforderter Filialnachschub; physische Auslieferung noch nicht bestätigt";Y;N;Y;
128;Drittverk./Verwert.;;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;33;Drittverk. /Verwert.;"Drittverkauf / Verwertung direkt aus dem Lager bzw. Fililale
Abgang aus BUB";N;N;N;
129;Storno Drittverkauf;;33;Drittverk. /Verwert.;"Drittverkauf / Verwertung direkt aus dem Lager bzw. Fililale
Abgang aus BUB";N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
130;"alt:QS-Sperrung;id_neu=86";340;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
131;"alt:QS-Entsperrung;id_neu=87";330;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
132;RLIB-Korrektur(+);330;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;Y;
133;RLIB-Korrektur(-);340;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;Y;
134;"Jahresinv; P.Df. alt";330;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;Y;
135;"Jahresinv; N.Df. alt";340;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;Y;
136;Verlust bei Transp.;;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;N;
137;Fund bei Transportsp;;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;N;
138;Umbuchung in beauftragten Bestand;;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;34;Beauftragter Best.;Zur Auslagerung beauftragter Bestand im Zentrallager Stationär/Filiale SAS/Caruso;Y;N;N;
139;Bestandsdiff.Nachsch;340;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;Y;
140;StornBest.diff.Nach.;330;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;Y;
141;Lager->Transportbest;346;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;N;
142;Storno Beauftragung;;34;Beauftragter Best.;Zur Auslagerung beauftragter Bestand im Zentrallager Stationär/Filiale SAS/Caruso;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
143;Rücksendung an Lief.;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
144;Storno Rücksend.Lief;300;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
145;Lagerdiff. Kommissionierung Stationaer;-1;34;Beauftragter Best.;Zur Auslagerung beauftragter Bestand im Zentrallager Stationär/Filiale SAS/Caruso;Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
146;Storno Lagerdiff. Kommiss. Stationaer;-1;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;34;Beauftragter Best.;Zur Auslagerung beauftragter Bestand im Zentrallager Stationär/Filiale SAS/Caruso;Y;N;N;
147;WE vom Lieferant in gesperrten Bestand;305;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
148;Retouren-Eingang vom Kunden;;37;Retouren-Eingang;BUB-Zugang durch Retouren vom Kunden in Retourenstelle;N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
149;Rückgabe an Lieferant;;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
150;alt:man. Bestandsberichtigung positiv;305;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
151;alt:Rueckgabe Lieferant aus QS-Sperre;;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
152;Einlagerung Retoure in Komm.lager;;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;Y;
153;Eingang Kundenretoure;;37;Retouren-Eingang;BUB-Zugang durch Retouren vom Kunden in Retourenstelle;N;N;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;N;
154;negative Inventurdifferenz Stichtag;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
155;positive Inventurdifferenz Stichtag;300;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
156;WE aus Rüstung vom Lieferanten in QS;305;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
157;Reserv. aus Komm. fuer Entnahme Versand;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;N;
158;Reserv.aus Komm.fuer Entnahme Stationaer;;34;Beauftragter Best.;Zur Auslagerung beauftragter Bestand im Zentrallager Stationär/Filiale SAS/Caruso;Y;N;17;Reserviert Stationär;"Reserviert fuer Entnahme im Kommissionierlager (Stationaer); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";Y;N;N;
159;Reserv.fuer Entnahme Versand nach Pickf.;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;N;
160;Inv.diff. Komm.nach Pickfehler Versand;-1;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
161;Auslagerung/Verkauf an Kunde Versand;-1;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;N;
162;Storno SM Reservierung Versand;300;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
163;Schwund bei Auslagerung Stationaer;;39;Sport Scheck intern.;Reservierter Bestand für SportScheck-International-Aktivitäten im Rahmen der logischen Bestandstrennung. Nur für Lager 23/25. Nur zur Bebuchung durch die Retail-Schicht. Teil des Buchbestands.;Y;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
164;WE aus Transit in QS(Filialruecksendung);349;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;Y;
165;Warenausgang Stationaer in Transit;;39;Sport Scheck intern.;Reservierter Bestand für SportScheck-International-Aktivitäten im Rahmen der logischen Bestandstrennung. Nur für Lager 23/25. Nur zur Bebuchung durch die Retail-Schicht. Teil des Buchbestands.;Y;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;N;
166;Auslagerung/Kommissionierung Stationaer;305;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;39;Sport Scheck intern.;Reservierter Bestand für SportScheck-International-Aktivitäten im Rahmen der logischen Bestandstrennung. Nur für Lager 23/25. Nur zur Bebuchung durch die Retail-Schicht. Teil des Buchbestands.;Y;N;N;
167;Storno Verkauf wegen Lagerdiff.gutschr.;;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
168;"alt:Eigenentnahme/Dreingabe;id_neu=317";;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;35;Eigenentn./Geschenk;"Eigenentnahme / Geschenk (z.B. Klopapier) direkt aus dem Lager bzw. Fililale; Abgang aus BUB";N;N;N;
169;alt:Storno Eigenentnahme/Dreingabe;;35;Eigenentn./Geschenk;"Eigenentnahme / Geschenk (z.B. Klopapier) direkt aus dem Lager bzw. Fililale; Abgang aus BUB";N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
170;Dekoration;;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;36;Dekoration Filiale;"Entnahme zur Dekoration der Filiale direkt aus dem Fililalbestand; Abgang aus BUB";N;N;N;
171;Storno Dekoration;;36;Dekoration Filiale;"Entnahme zur Dekoration der Filiale direkt aus dem Fililalbestand; Abgang aus BUB";N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
172;Reservierung für sonstige Entnahme;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;N;
173;alt:Auslagerung Muster aus QS-Sperre;;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;42;Int.warenabzug IWA;Umsatz Interner Warenabzug und Warenruecklauf;N;N;N;
174;Auslagerung für Drittgeschaeft aus QS;315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;33;Drittverk. /Verwert.;"Drittverkauf / Verwertung direkt aus dem Lager bzw. Fililale
Abgang aus BUB";N;N;N;
175;Umlagerung gesperrter Bestand;-1;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;Y;
176;Einlagerung Muster in QS-Sperre;;42;Int.warenabzug IWA;Umsatz Interner Warenabzug und Warenruecklauf;N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
177;Einlagerung aus Ruecknahme Drittgesch.;305;33;Drittverk. /Verwert.;"Drittverkauf / Verwertung direkt aus dem Lager bzw. Fililale
Abgang aus BUB";N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
178;Auslagerung nach Konzern-Laufkette;;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
179;Einlagerung aus Konzern-Laufkette;305;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
180;Rueckgabe an Lieferant;;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
181;Storno Rueckg. an Lief. aus Überhang;305;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
182;"alt:Ausbuchung wegen Umzeichnung;neu=94";;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
183;Einbuchung nach Umzeichnung;305;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
184;alt:Pos. Inventurdiff. Retourenstelle;;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;N;
185;alt:Neg. Inventurdiff. Retourenstelle;;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
186;alt:Kanalbuchung (Verschrottung etc.);315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;N;
187;Storno Kanalbuchung;305;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
188;Interner Warenabzug IWA;;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;42;Int.warenabzug IWA;Umsatz Interner Warenabzug und Warenruecklauf;N;N;N;
189;Rueckbuchung Interner Warenabzug IWR;;42;Int.warenabzug IWA;Umsatz Interner Warenabzug und Warenruecklauf;N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
190;QS-Entsperrung bei WE2;330;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
191;Storno Umbuchung Transit;336;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
192;alt:Kanalbuchung in Retourenstelle;;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;N;
193;Storno Auslagerung/Verkauf Versand;-1;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;N;
194;Nachreservierung Versand (PLS-Lager);310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
195;Ausbuchen negative Entnahmen stationaer;;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;39;Sport Scheck intern.;Reservierter Bestand für SportScheck-International-Aktivitäten im Rahmen der logischen Bestandstrennung. Nur für Lager 23/25. Nur zur Bebuchung durch die Retail-Schicht. Teil des Buchbestands.;Y;N;N;
196;Positive Inventurdiff. im Transit;305;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;N;
196;Positive Inventurdiff. im Transit;339;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;N;
197;Negative Inventurdiff. im Transit;349;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
197;Negative Inventurdiff. im Transit;315;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
198;Storno Auslag./Kommiss. Stationaer;315;39;Sport Scheck intern.;Reservierter Bestand für SportScheck-International-Aktivitäten im Rahmen der logischen Bestandstrennung. Nur für Lager 23/25. Nur zur Bebuchung durch die Retail-Schicht. Teil des Buchbestands.;Y;N;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;N;
199;Storno Kundenrechn./Entl.Kundenford.;305;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
200;Inventur-Ausbuchung Fehlbestand;315;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
201;alt:Storno Kanalbuch. Retourenstelle;;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;N;
202;WE1 / Wareneingang vom Lieferanten;-1;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;25;QS ungeprüft / WE1;Wareneingänge nach Vereinnahmung per WE1 und vor Freischaltung per WE2 im Zustand QS-ungeprüft bzw. wartend auf Zollfreigabe;N;N;N;
203;WE1-Mengenkorrektur negativ;-1;25;QS ungeprüft / WE1;Wareneingänge nach Vereinnahmung per WE1 und vor Freischaltung per WE2 im Zustand QS-ungeprüft bzw. wartend auf Zollfreigabe;N;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
204;WE1-Mengenkorrektur positiv;-1;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;25;QS ungeprüft / WE1;Wareneingänge nach Vereinnahmung per WE1 und vor Freischaltung per WE2 im Zustand QS-ungeprüft bzw. wartend auf Zollfreigabe;N;N;N;
205;Vereinnahmung WE2;300;25;QS ungeprüft / WE1;Wareneingänge nach Vereinnahmung per WE1 und vor Freischaltung per WE2 im Zustand QS-ungeprüft bzw. wartend auf Zollfreigabe;N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
